"﻿""location""","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANKOB003_01322_SKAETSWYS_000_026<tab>Camp Overlook can't bear to suffer another attack like the last. <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>, get yerself back to Gi Gu and see what that sorry excuse for a kobold knows about this new breed o' bomb.","","","False","0x00000041","",""
"","TEXT_BANKOB003_01322_KOKKADANA01322_000_027<tab>Me ears! The blast was so deafenin' I fear I'll never again hear the sound o' the sea...","","","False","0x00000042","",""
"","TEXT_BANKOB003_01322_KOKKADANB01322_000_028<tab>I'm no new recruit─aye, I've seen me share o' bombs in me days. Nothing in me worst nightmares could 'ave prepared me for what we faced...","","","False","0x00000043","",""
"","TEXT_BANKOB003_01322_KOKKADANC01322_000_029<tab>S-Such strength! If this is the new face of our foe, we're as good as done for...","","","False","0x00000044","",""
"","TEXT_BANKOB003_01322_GIGU_000_040<tab>Great losses, your camp suffered? This is a pity─a shame, a crime, a pity. Good thing it was not us. Yes, yes, we are lucky indeed.","","","False","0x00000045","",""
"","TEXT_BANKOB003_01322_GIGU_000_041<tab>A secret new weapon? Such rumors have come our way before. Yes, yes, one of our acolytes overheard Zo Ga speaking of just such a thing.","","","False","0x00000046","",""
"","TEXT_BANKOB003_01322_GIGU_000_042<tab>You should seek him out. Yes, yes, you must speak to Ba Go. But I warn you, he is an odd one─curious, eccentric, odd...","","","False","0x00000047","",""
"","TEXT_BANKOB003_01322_GIGU_000_043<tab>Worry not that Ba Go has been relegated to this forsaken order; his alchemical prowess knows few equals. Once he was a favorite of Zo Ga. Yes, yes, his prized researcher. But then he became a bit too attached to his work...","","","False","0x00000048","",""
"","TEXT_BANKOB003_01322_BAGO_000_050<tab>Ba Go has been awaiting you─expecting, anticipating, awaiting. Zo Ga's furnace is firing, and you seek Ba Go's aid? Yesss, yesss, you do!","","","False","0x00000049","",""
"","TEXT_BANKOB003_01322_BAGO_000_051<tab>Zo Ga's furnace spits out bombs of prodigious power. Brilliant bombs─breathtaking, beautiful, brilliant! And Ba Go is an old friend of Zo Ga. Yes, yes, old friends, we are...","","","False","0x0000004A","",""
"","TEXT_BANKOB003_01322_BAGO_000_052<tab>But Ba Go will help you. Yes, yes, he will. Why? Because Ba Go enjoys nothing more than watching things go kaboom─kablam, kapow, kaboom! Hahaha! Heeheahhahaha!","","","False","0x0000004B","",""
"","TEXT_BANKOB003_01322_BAGO_000_053<tab>Ba Go knows the way to the 13th Order's workshop deep in the bowels of U'Ghamaro. Yes, yes, Ba Go knows of a hidden passage─secret, secluded, hidden.","","","False","0x0000004C","",""
"","TEXT_BANKOB003_01322_BAGO_000_054<tab>The passage is guarded closely─guarded night and day. Yet Ba Go has friends in high places. Yes, yes, he does.","","","False","0x0000004D","",""
"","TEXT_BANKOB003_01322_BAGO_000_055<tab>Ba Go will gather his lovelies─his beauties, his dears, his lovelies. You will go ahead, to northern Iron Lake, and seek out one Ga Zi. Yes, yes, you will.","","","False","0x0000004E","",""
"","TEXT_BANKOB003_01322_BAGO_000_056<tab>My lovelies─my beauties, my dears, my lovelies─it is time to come out and play. Yes, yes, the time for madness and mayhem is nigh! Haha! Heeaheaheahaha!","","","False","0x0000004F","",""
"","TEXT_BANKOB003_01322_DOKANKUN_000_060<tab>Shush! Last time someone woke Zo Ga from his <var 08 E3E90C0D ((<var 08 E3E90C05 ((beauty rest)) ((beauty rest)) /var>)) ((<var 08 E3E90C12 ((afternoon nap)) ((beauty rest)) /var>)) /var>, he had the offender mine an entire ore vein with his fingernails. Yunz wouldn't want that to happen, nuh-uh, nuh-uh.","","","False","0x00000050","",""
"","TEXT_BANKOB003_01322_DOKANKUN_000_061<tab>Ba Go told me to expect yunzes. Zo Ga's workshop is on the other side of this exhaust pipe. Yunz'll go quickly and quietly─silently, soundlessly, quietly, that sort of thing─and tell no one that I's opened the door, yunz listening?","","","False","0x00000051","",""
"","TEXT_BANKOB003_01322_Q1_000_000<tab>Enter the 13th Order workshop?","","","False","0x00000052","",""
"","TEXT_BANKOB003_01322_A1_000_001<tab>Yes.","","","False","0x00000053","",""
"","TEXT_BANKOB003_01322_A1_000_002<tab>No.","","","False","0x00000054","",""
"","TEXT_BANKOB003_01322_DOKANKUN_000_062<tab>Then begone─run, flee, begone, that sort of thing. If Zo Ga catches me talking to an adventurer, bwom bwom, and yunz won't be seeing Ga Zi no more. Nuh-uh, nuh-uh.","","","False","0x00000055","",""
"","TEXT_BANKOB003_01322_DOKANKUN_000_063<tab>Ba Go may be surrounded by simpletons, but he knows his craft, uh-huh, uh-huh. Used build his beauties for Zo Ga himself. Yes, that was before the fumes began to take their toll, and he got a bit unbalanced, unhinged, touched in the head.","","","False","0x00000056","",""
"","TEXT_BANKOB003_01322_BAGO_000_070<tab>Ba Go has come, and his lovelies with him. Yes, yes, we have arrived. And yet...what is this? Ba Go hears Zo Ga's lackeys scurrying about.","","","False","0x00000057","",""
"","TEXT_BANKOB003_01322_BAGO_000_071<tab>Ba Go's lovelies are trembling in fear─shivering, shaking, trembling. This will not do─no, no, it will not. You must see to Zo Ga's men before we have our fun. Yes, yes, you must...","","","False","0x00000058","",""
"","TEXT_BANKOB003_01322_BAGO_000_072<tab>What a shiny furnace─smooth, shimmery, shiny! And what booming, beautiful bombs it must make. Yes, yes, a great invention indeed...","","","False","0x00000059","",""
"","TEXT_BANKOB003_01322_BALOON_000_080<tab>Intruder! Trespasser,<br>interloper, intruder!","","","False","0x0000005A","",""
"","TEXT_BANKOB003_01322_BALOON_000_081<tab>You will not leave this place!<br>No, no, not alive!","","","False","0x0000005B","",""
"","TEXT_BANKOB003_01322_BAGO_000_090<tab>Are you ready, my lovelies? Yes, yes, you are... Take them, and gently place them in the furnace─sweetly, tenderly, gently. Then stand back quickly. Yes, yes, with haste.","","","False","0x0000005C","",""
"","TEXT_BANKOB003_01322_BAGO_000_091<tab>Take my lovelies, and gently place them in the furnace─sweetly, tenderly, gently. Then stand back quickly. Yes, yes, with haste.","","","False","0x0000005D","",""
"","TEXT_BANKOB003_01322_BAGO_000_100<tab>Ahhh, nothing like the smell of a burnt-out furnace in the morning! Or was it the evening? Does it even matter? No, no, it does not.","","","False","0x0000005E","",""
"","TEXT_BANKOB003_01322_BAGO_000_101<tab>Ba Go cannot bear to be parted from his lovelies any longer. His heart weeps─cries, sobs, weeps. Yes, yes, we must leave as we came.","","","False","0x0000005F","",""
"","TEXT_BANKOB003_01322_BAGO_000_105<tab>This is the way to the surface. Ba Go will return to his lovelies. Yes, yes, he will.","","","False","0x00000060","",""
"","TEXT_BANKOB003_01322_GIGU_000_110<tab>Are my ears to be believed, adventurer? Zo Ga's furnace sputters─fizzles, smokes, sputters. This is your and Ba Go's doing? Yes, yes, it is!","","","False","0x00000061","",""
"","TEXT_BANKOB003_01322_SKAETSWYS_000_111<tab>Brilliant work, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>! With their source of ammunition knocked out o' commission, I reckon the 13th Order won't be comin' back to wreak 'avoc on Camp Overlook any time soon.","","","False","0x00000062","",""
"","TEXT_BANKOB003_01322_SKAETSWYS_000_112<tab>But we've only begun to fight! Aye, we'll not rest until Zo Ga and 'is lickspittles 'ave been driven from U'Ghamaro entirely. Who's with me!?","","","False","0x00000063","",""
"","TEXT_BANKOB003_01322_BIBI_000_113<tab>Gi Gu! Have you gone mad─barmy, balmy, mad!?","","","False","0x00000064","",""
"","TEXT_BANKOB003_01322_GIGU_000_114<tab>B-Bi Bi! What a lovely surprise─a pleasure, a delight, a surprise!","","","False","0x00000065","",""
"","TEXT_BANKOB003_01322_SKAETSWYS_000_115<tab>Hm? Who's this now?","","","False","0x00000066","",""
"","TEXT_BANKOB003_01322_GIGU_000_116<tab>Oh, my beloved Bi Bi! How I have longed─yearned, pined, longed─to look upon your delicate whiskers, your dainty paws...","","","False","0x00000067","",""
"","TEXT_BANKOB003_01322_BIBI_000_117<tab>Gi Gu! You and your friends sabotaged Zo Ga's prized furnace, yes? You cannot fool me. No, no, I can see it in your eyes!","","","False","0x00000068","",""
"","TEXT_BANKOB003_01322_SKAETSWYS_000_118<tab>Aye, the girl's a sharp one...","","","False","0x00000069","",""
"","TEXT_BANKOB003_01322_BIBI_000_119<tab>Zo Ga is on a rampage─a fury, a frenzy, a rampage! He says he'll find the culprit, and toss him into a vat of acid. He will kill you, Zo Ga─yes, yes, he will!","","","False","0x0000006A","",""
"","TEXT_BANKOB003_01322_GIGU_000_120<tab><gulp> But I'm too young to die! Yes, yes, I am!","","","False","0x0000006B","",""
"","TEXT_BANKOB003_01322_BIBI_000_121<tab>Then you must abandon this madness and flee this place─run, take flight, flee!","","","False","0x0000006C","",""
"","TEXT_BANKOB003_01322_GIGU_000_122<tab>Y-Yes, yes, I think I will. It was nice knowing you all. Good<var 1F /var>bye, good luck, farewell─","","","False","0x0000006D","",""
"","TEXT_BANKOB003_01322_SKAETSWYS_000_123<tab>Gah! Are ye out o' yer bloody mind!? Ye've come this far, and yer just goin' to leave yer comrades behind? Take one cowardly step, and I'll skewer ye where ye stand!","","","False","0x0000006E","",""
"","TEXT_BANKOB003_01322_GIGU_000_124<tab>Y-Yes, of c-course! I-I will stand and do battle─clash, brawl, battle!","","","False","0x0000006F","",""
"","TEXT_BANKOB003_01322_BIBI_000_125<tab><sigh> You have not changed one bit, Gi Gu. No, no, you are as weak and wishy-washy as ever. Can you not make up your own mind?","","","False","0x00000070","",""
"","TEXT_BANKOB003_01322_GIGU_000_126<tab>You are right, Bi Bi. Yes, yes, you are! I will fight, and then run─no, no, run and then fight...?","","","False","0x00000071","",""
"","TEXT_BANKOB003_01322_BIBI_000_127<tab>I've seen enough of this. Yes, yes, I am through with you. Do what you want, and do it alone─abandoned, unaccompanied, alone.","","","False","0x00000072","",""
"","TEXT_BANKOB003_01322_GIGU_000_128<tab>Wait, Bi Bi! No, no, you must not go! <sigh> Oh dear, I'm in trouble now...","","","False","0x00000073","",""
"","TEXT_BANKOB003_01322_SYSTEM_000_130<tab>You have achieved <var 48 F201F4 /var><var 49 F201F5 /var>Recognized<var 49 01 /var><var 48 01 /var> reputation with the 789th Order.","","","False","0x00000074","",""
"","TEXT_BANKOB003_01322_SYSTEM_000_131<tab>New kobold beast tribe quests are now available from 789th Order Craftsman Bo Gu.","","","False","0x00000075","",""
"","TEXT_BANKOB003_01322_SYSTEM_000_132<tab>Furthermore, you now have access to a wider selection of wares from the 789th Order vendor.","","","False","0x00000076","",""
"","TEXT_BANKOB003_01322_POPMESSAGE_000_000<tab>You sense a hostile presence!","","","False","0x00000077","",""
"","TEXT_BANKOB003_01322_BAGO_000_140<tab>Yes, nothing like the smell of napalm in the morning─or was it the evening? But who can even tell down here in the depths!? Haha! Heaheahehaehahaha!","","","False","0x00000078","",""
"","TEXT_BANKOB003_01322_DOKANKUN_000_150<tab>Ba Go told me to expect yunzes. Zo Ga's workshop is on the other side of this exhaust pipe. Yunz'll go quickly and quietly─silently, soundlessly, quietly, that sort of thing─and tell no one that I's opened the door, yunz listening?","","","False","0x00000079","",""
